boundary,class_id,example_id,model_seed,position_mode,predictive_order,residual,stage,target_margin,template_id,top1_correct
0,level1-0,test:l1:t0:paligned:c0:i0,11,aligned,1,-0.116674:0.639506:0.847829:1.03554:-0.472173:0.097983:2.25577:-2.12045:2.11679:-4.71206:-0.679338:-0.66571:1.50277:-2.35562:0.558424:1.25538:-2.1625:0.250158:-0.560303:0.832548:0.998827:0.258698:-1.58853:-1.07259:0.364064:0.241217:1.21033:-0.60967:2.71463:-0.142414:0.00329316:-2.46516:-0.570896:-0.326239:-0.403874:0.105419:-0.486457:-1.21617:-2.50129:-0.717734:-2.96811:-2.0347:1.39424:1.08139:-1.48924:1.0702:-1.38632:1.11701:-1.07986:0.344878:-0.411012:1.85712:0.980333:0.88024:-0.464259:0.525303:-0.530383:2.33668:0.707182:0.619447:-0.711202:1.3967:1.30178:-0.555758,s3,-35.517574310302734,0,0
0,level1-1,test:l1:t0:paligned:c5:i1,11,aligned,1,0.245666:-0.305742:0.0430594:2.93369:-0.958379:-0.782937:1.08123:-1.60708:1.19388:-2.56209:0.960006:-0.693621:1.50111:0.168858:-2.10378:3.33717:-1.7157:0.496862:-0.350926:2.13629:1.07117:-1.29077:-1.17641:-1.12319:-1.39796:-0.619513:-2.30121:0.751165:0.496548:0.526018:-1.71224:-1.70025:0.211055:0.084094:-1.55281:0.355967:-1.02411:2.4008:0.338498:-0.320397:0.45394:-0.566933:-0.276521:1.80388:-1.10187:1.53282:-0.918595:-0.810379:-1.79931:-1.12627:-0.988055:1.20073:0.316027:-0.278747:1.24887:1.4131:1.96865:1.65316:1.51273:-0.431615:-1.60793:1.07611:-3.08713:-1.00853,s3,-45.97768020629883,0,0
0,level1-1,test:l1:t0:paligned:c15:i3,11,aligned,1,1.23581:1.33516:2.00469:-0.156277:-0.351878:-0.76062:-0.537179:-0.343464:-0.224957:-3.06405:-0.171115:-0.734186:1.26496:-1.78585:-0.81144:3.28688:-2.56073:1.18441:0.163825:0.940909:1.42397:-1.31366:-0.647402:0.15614:-0.204509:0.408737:0.546678:-2.37919:0.38033:-0.187539:-0.879231:-0.365883:-0.722127:-1.55508:-0.565986:0.176105:-2.22351:0.624891:-1.34261:1.1779:0.134518:-1.70109:-1.37629:2.76277:-2.06021:1.64804:-0.0809437:0.430342:-0.397861:1.67229:0.842091:1.56777:1.08:0.367827:-2.77028:-1.38672:-0.50511:0.832773:1.15105:1.79955:-0.901493:0.258936:-0.538674:-1.76613,s3,-27.444414138793945,0,0
0,level1-0,test:l1:t0:paligned:c20:i4,11,aligned,1,0.821542:0.827816:2.25902:-2.22795:0.175682:-1.30855:-0.665908:-1.10466:-0.954403:-3.53843:-0.394825:-1.22296:1.05239:-2.32886:-1.26201:2.56588:-0.117299:1.63328:0.309324:1.82426:2.87316:0.497445:-2.03805:-0.245561:-2.25059:-0.876122:0.482799:-0.902713:3.08488:-1.68799:-0.914576:0.172589:-2.18853:-0.819361:0.366693:1.68862:-0.277226:0.147557:-0.26253:0.210759:-0.962644:-0.600883:1.04921:2.97022:-2.37206:3.50637:-0.0587084:1.10479:-2.91113:-1.39986:-0.0192081:1.51043:1.37752:0.00319017:-1.05983:0.463924:0.141881:0.79872:2.57205:0.398549:0.59921:0.35538:-1.92902:-1.13995,s3,-44.7033576965332,0,0
0,level1-0,test:l1:t0:paligned:c30:i6,11,aligned,1,0.669805:0.174387:-0.921422:0.890413:-1.18653:0.565044:0.710573:0.216846:0.827534:-2.48383:-2.38155:-1.2221:1.88314:-1.24433:-1.54058:3.35384:-0.527229:1.85931:-1.14879:1.27964:4.17522:0.172948:-1.21654:-0.364012:-0.830932:0.0638421:1.53329:1.54593:0.352236:-1.71444:1.91976:-1.48092:0.97956:-1.32063:0.0743478:1.5096:-2.4952:0.434624:0.484236:-1.00068:-1.46889:0.470631:-0.523403:1.45952:-1.5814:3.26137:0.439143:2.42098:-1.08005:-0.266883:0.633491:2.05297:1.83721:0.705291:1.04671:0.642138:-0.974635:1.93086:1.51333:0.30146:0.597132:-1.70778:-1.93255:-1.64973,s3,-35.79777908325195,0,0
0,level1-1,test:l1:t0:paligned:c35:i7,11,aligned,1,2.26223:-1.02485:-0.294863:0.937068:-0.812585:-0.4705:-1.2761:-2.38047:-0.255545:-3.40735:1.0647:-0.783536:2.83322:-1.51215:-0.286094:2.07254:0.502995:3.5004:2.17281:1.83675:2.89197:0.171199:-0.532889:-0.481385:-0.160237:-0.361572:1.16594:-0.242643:0.783681:-1.69298:-1.03264:-2.46913:0.530905:-1.73344:-1.91968:-0.955269:-1.40823:0.303393:0.260971:-1.04644:-0.9336:-0.901488:1.45383:2.8516:-0.385037:0.103981:0.858926:1.43161:-2.99383:1.82934:-1.12873:1.36571:2.25958:-0.238394:-0.639645:-0.139504:0.90276:1.58328:-0.164122:-0.455614:-0.0279935:0.169159:0.0538551:-3.18158,s3,-39.31267547607422,0,0
0,level1-1,test:l1:t0:paligned:c45:i9,11,aligned,1,-0.110275:1.2113:1.69966:-0.507836:-2.28687:-0.807629:1.04483:-0.961546:-0.416676:-3.01133:-1.00275:-1.79346:0.552631:-0.80532:1.27072:3.27664:-1.41002:2.14807:-1.17757:1.66045:2.05452:-0.383719:-3.53934:0.212947:-1.88783:0.147513:-0.566973:0.921289:-0.223571:0.580803:-2.44562:-2.24655:-0.43641:0.122829:-0.523395:0.301227:0.816891:-0.362578:0.913493:-0.487652:-1.10815:1.11997:0.812372:2.31298:-3.3499:1.78253:0.683073:2.84285:-0.182199:0.678874:0.742041:-0.561722:0.180878:0.337169:-0.41868:0.515749:-0.911229:1.25879:0.427425:0.066124:-0.307464:0.11871:-2.06409:-1.68439,s3,-34.82158279418945,0,0
0,level1-0,test:l1:t0:paligned:c50:i10,11,aligned,1,-0.458242:-0.597932:-0.411127:0.475156:-0.014743:0.716501:-0.342094:0.885943:0.217322:-2.92364:-1.44937:-1.73196:1.08547:-0.290814:-0.918466:2.14067:-1.71163:2.57017:-0.163606:2.56966:1.50898:0.0674831:0.0408022:-0.0221505:-0.74467:-0.583051:1.80266:0.707662:-0.336066:0.167983:-1.52952:-1.51414:-1.55559:-0.213142:-0.700658:0.916596:-0.362188:-0.993957:1.93895:-0.66011:1.62748:-0.957469:-0.511092:2.80039:-3.2097:2.90867:0.29984:-0.320319:0.339527:-0.00854108:0.376982:-0.423348:0.195643:0.717976:-0.963809:1.37771:0.909974:2.2978:2.26744:-1.23529:0.516683:0.811725:0.482978:-0.756008,s3,-31.930648803710938,0,0
0,level1-0,test:l1:t0:paligned:c60:i12,11,aligned,1,1.27317:-2.09877:-1.18744:1.39488:-2.23817:0.922084:-0.820106:-0.554407:0.365856:-0.85234:-2.28052:0.694498:0.624028:-0.978025:1.23837:3.30176:-0.629392:2.03937:0.451785:4.21183:1.62331:-1.80776:-1.64374:-0.630166:-3.75981:0.361433:1.86918:0.758576:-0.519124:-0.79101:0.327966:-2.08699:-0.873533:-0.310762:0.71198:0.27981:-1.10992:-0.991032:-0.816535:-0.313872:-2.16111:0.268466:-0.732966:2.39289:-0.965048:1.3302:-0.784048:-0.137037:0.523282:-0.942565:-0.737428:1.00608:1.27889:0.721923:-0.198101:0.362956:-0.194529:1.02394:0.6557:0.852925:0.556399:-0.375082:-0.381687:-2.46684,s3,-36.99217224121094,0,0
0,level1-0,test:l1:t0:paligned:c0:i13,11,aligned,1,0.56032:-1.28457:-0.553194:-0.362772:-0.12915:-0.307803:1.54191:-1.90196:-0.11695:-2.35302:-0.977608:-0.300847:1.51201:-0.765451:-1.99578:3.55394:-0.980261:2.80436:1.13381:1.03983:3.24202:0.0307788:-0.980641:-0.422937:-0.428653:-0.0723656:-1.52657:0.307826:1.83714:-1.01882:0.400305:-1.47758:-0.351128:-1.26682:1.09725:1.94022:-1.6214:0.0559331:0.450571:-1.40959:-0.742892:-1.2195:0.0356095:2.07348:-2.30488:0.474504:0.62108:1.53415:-0.167028:-0.549874:-1.33992:2.39304:1.12435:-0.509827:0.453417:-0.0733574:-2.68172:0.732728:0.864796:-1.44723:1.08058:1.12164:-0.146411:-1.63518,s3,-31.17222023010254,0,0
