accuracy,branching,distractors,evaluation_axis,mean_margin,mean_target_probability,model_depth,model_seed,n,predicate,required_path,total_depth
0.5416666666666666,2,4,depth_path,-0.2724951207637787,0.3687933127979098,6,11,48,parent,1,2
0.4166666666666667,2,4,depth_path,-0.975683718919754,0.31274027086935047,6,11,48,grandparent,2,2
0.4166666666666667,2,4,depth_path,-0.9912372926870981,0.30959362153710873,6,11,48,root,2,2
0.2916666666666667,2,4,depth_path,-1.9362895886103313,0.18916002560719866,6,11,48,parent,1,3
0.3125,2,4,depth_path,-1.5846168001492817,0.20069562411511774,6,11,48,grandparent,2,3
0.5416666666666666,2,4,depth_path,-0.2589595913887024,0.36793763971612253,6,11,48,ancestor_k,1,2
1.0,2,4,depth_path,9.124459882577261,0.9911937688787779,6,11,48,isAncestor,1,2
1.0,2,4,depth_path,9.296970268090567,0.9945278279483318,6,11,48,isAncestor,2,2
0.3125,2,4,depth_path,-1.8333016236623128,0.18866285589054618,6,11,48,root,3,3
0.14583333333333334,2,0,distractors,-3.0816925764083862,0.07531759129600839,6,11,48,parent,1,8
0.10416666666666667,2,0,distractors,-2.983344187339147,0.05679352395911034,6,11,48,grandparent,2,8
0.041666666666666664,2,0,distractors,-4.432421932617824,0.024992148863627033,6,11,48,root,8,8
0.22916666666666666,2,4,depth_path,-2.1456775267918906,0.1310017260884706,6,11,48,parent,1,4
0.16666666666666666,2,4,depth_path,-2.7718730370203652,0.10267490278859744,6,11,48,grandparent,2,4
0.4375,2,4,depth_path,-0.9101907312870026,0.3108152518386002,6,11,48,ancestor_k,2,2
0.2916666666666667,2,4,depth_path,-1.905026137828827,0.1900866609868975,6,11,48,ancestor_k,1,3
0.9791666666666666,2,4,depth_path,8.408557077248892,0.9665782727691598,6,11,48,isAncestor,1,3
0.9583333333333334,2,4,depth_path,8.117790977160135,0.9475385018965596,6,11,48,isAncestor,2,3
0.9791666666666666,2,4,depth_path,8.490134676297506,0.9722113140317864,6,11,48,isAncestor,3,3
0.22916666666666666,2,4,depth_path,-2.4825351734956107,0.12052089171788793,6,11,48,root,4,4
1.0,2,0,distractors,8.220888475577036,0.9837318484981855,6,11,48,isAncestor,3,8
0.3125,2,4,depth_path,-1.5438234607378643,0.1601859671591228,6,11,48,parent,1,5
0.10416666666666667,2,4,depth_path,-3.3790269990762076,0.054361233106335526,6,11,48,grandparent,2,5
0.2916666666666667,2,4,depth_path,-1.7347444295883179,0.18970371757283525,6,11,48,ancestor_k,2,3
0.22916666666666666,2,4,depth_path,-2.065360556046168,0.1346406060474692,6,11,48,ancestor_k,1,4
1.0,2,4,depth_path,8.907260874907175,0.9919494464993477,6,11,48,isAncestor,1,4
1.0,2,4,depth_path,8.744227747122446,0.9861354678869247,6,11,48,isAncestor,2,4
1.0,2,4,depth_path,8.791929940382639,0.9793600812554359,6,11,48,isAncestor,3,4
1.0,2,4,depth_path,8.843297719955444,0.9871153521041075,6,11,48,isAncestor,4,4
0.125,2,4,depth_path,-3.086418370405833,0.07907716477787592,6,11,48,root,5,5
0.20833333333333334,2,4,depth_path,-3.0888103942076364,0.08294701220108891,6,11,48,parent,1,6
0.16666666666666666,2,4,depth_path,-2.9846903582413993,0.10024896127955192,6,11,48,grandparent,2,6
0.3125,2,4,depth_path,-1.8154694785674412,0.19667639358218972,6,11,48,ancestor_k,3,3
0.14583333333333334,2,4,depth_path,-2.7439931631088257,0.09713466207904276,6,11,48,ancestor_k,2,4
0.3541666666666667,2,4,depth_path,-1.5034928619861603,0.1592756475868858,6,11,48,ancestor_k,1,5
1.0,2,4,depth_path,8.584728678067526,0.9870183753470579,6,11,48,isAncestor,1,5
1.0,2,4,depth_path,8.53752056757609,0.991064133743445,6,11,48,isAncestor,2,5
1.0,2,4,depth_path,8.49234781662623,0.9718139320611954,6,11,48,isAncestor,3,5
1.0,2,4,depth_path,8.4189542333285,0.9718641135841608,6,11,48,isAncestor,4,5
1.0,2,4,depth_path,8.51935625076294,0.9780028487245241,6,11,48,isAncestor,5,5
0.08333333333333333,2,4,depth_path,-3.74133292833964,0.06890396888377381,6,11,48,root,6,6
0.1875,2,0,distractors,-3.0397811581691108,0.06994077544910245,6,11,48,ancestor_k,3,8
0.25,2,4,depth_path,-2.202969799439112,0.14677888489495672,6,11,48,ancestor_k,3,4
0.10416666666666667,2,4,depth_path,-3.3544299006462097,0.055443025272834255,6,11,48,ancestor_k,2,5
0.20833333333333334,2,4,depth_path,-3.0504097739855447,0.09395480329351358,6,11,48,ancestor_k,1,6
1.0,2,4,depth_path,9.324037551879883,0.9888729838033518,6,11,48,isAncestor,1,6
1.0,2,4,depth_path,9.09212346871694,0.9882981851696968,6,11,48,isAncestor,2,6
0.9791666666666666,2,4,depth_path,8.900231520334879,0.9688017076502243,6,11,48,isAncestor,3,6
0.9791666666666666,2,4,depth_path,9.317596316337585,0.9732990867923945,6,11,48,isAncestor,4,6
1.0,2,4,depth_path,9.449771086374918,0.9909649404386679,6,11,48,isAncestor,5,6
0.9791666666666666,2,4,depth_path,9.375306904315948,0.983841935172677,6,11,48,isAncestor,6,6
0.14583333333333334,2,4,depth_path,-2.950115372737249,0.07795006423452833,6,11,48,parent,1,8
0.16666666666666666,2,4,depth_path,-3.1980052292346954,0.0673955791222814,6,11,48,grandparent,2,8
0.20833333333333334,2,4,depth_path,-2.5657511254151664,0.10709467537177868,6,11,48,ancestor_k,4,4
0.125,2,4,depth_path,-2.5817458828290305,0.08898333258313566,6,11,48,ancestor_k,3,5
0.16666666666666666,2,4,depth_path,-3.0221536258856454,0.09946117519454371,6,11,48,ancestor_k,2,6
0.041666666666666664,2,4,depth_path,-4.770260001222293,0.024523123480103475,6,11,48,root,8,8
